Source,CH1,CH2
-1.091280E-01,+8.000000E-02,+5.360000E+00
-1.091240E-01,+0.000000E+00,+5.360000E+00
-1.091200E-01,+0.000000E+00,+5.360000E+00
-1.091160E-01,+0.000000E+00,+5.360000E+00
-1.091120E-01,+0.000000E+00,+5.280000E+00
-1.091080E-01,+8.000000E-02,+5.360000E+00
-1.091040E-01,+0.000000E+00,+5.360000E+00
-1.091000E-01,+0.000000E+00,+5.360000E+00
-1.090960E-01,+8.000000E-02,+5.360000E+00
-1.090920E-01,+8.000000E-02,+5.360000E+00
-1.090880E-01,+0.000000E+00,+5.360000E+00
-1.090840E-01,-8.000000E-02,+5.360000E+00
-1.090800E-01,+0.000000E+00,+5.360000E+00
-1.090760E-01,+8.000000E-02,+5.280000E+00
-1.090720E-01,+0.000000E+00,+5.360000E+00
-1.090680E-01,+0.000000E+00,+5.360000E+00
-1.090640E-01,+8.000000E-02,+5.360000E+00
-1.090600E-01,+0.000000E+00,+5.360000E+00
-1.090560E-01,+0.000000E+00,+5.360000E+00
-1.090520E-01,+0.000000E+00,+5.360000E+00
-1.090480E-01,+0.000000E+00,+5.360000E+00
-1.090440E-01,+8.000000E-02,+5.360000E+00
-1.090400E-01,+0.000000E+00,+5.360000E+00
-1.090360E-01,+0.000000E+00,+5.440000E+00
-1.090320E-01,+0.000000E+00,+5.360000E+00
-1.090280E-01,+0.000000E+00,+5.360000E+00
-1.090240E-01,+8.000000E-02,+5.360000E+00
-1.090200E-01,+8.000000E-02,+5.360000E+00
-1.090160E-01,+8.000000E-02,+5.360000E+00
-1.090120E-01,+8.000000E-02,+5.360000E+00
-1.090080E-01,+8.000000E-02,+5.360000E+00
-1.090040E-01,+0.000000E+00,+5.360000E+00
-1.090000E-01,+8.000000E-02,+5.360000E+00
-1.089960E-01,+1.600000E-01,+5.360000E+00
-1.089920E-01,+0.000000E+00,+5.360000E+00
-1.089880E-01,+0.000000E+00,+5.360000E+00
-1.089840E-01,+0.000000E+00,+5.360000E+00
-1.089800E-01,+8.000000E-02,+5.360000E+00
-1.089760E-01,+0.000000E+00,+5.360000E+00
-1.089720E-01,+8.000000E-02,+5.360000E+00
-1.089680E-01,+8.000000E-02,+5.440000E+00
-1.089640E-01,+1.600000E-01,+5.360000E+00
-1.089600E-01,+8.000000E-02,+5.360000E+00
-1.089560E-01,+0.000000E+00,+5.360000E+00
-1.089520E-01,-8.000000E-02,+5.360000E+00
-1.089480E-01,+0.000000E+00,+5.360000E+00
-1.089440E-01,+8.000000E-02,+5.360000E+00
-1.089400E-01,+0.000000E+00,+5.280000E+00
-1.089360E-01,+8.000000E-02,+5.280000E+00
-1.089320E-01,+8.000000E-02,+5.360000E+00
-1.089280E-01,+8.000000E-02,+5.360000E+00
-1.089240E-01,+0.000000E+00,+5.280000E+00
-1.089200E-01,+0.000000E+00,+5.280000E+00
-1.089160E-01,+0.000000E+00,+5.360000E+00
-1.089120E-01,+0.000000E+00,+5.360000E+00
-1.089080E-01,+8.000000E-02,+5.360000E+00
-1.089040E-01,+8.000000E-02,+5.360000E+00
-1.089000E-01,+0.000000E+00,+5.360000E+00
-1.088960E-01,+0.000000E+00,+5.440000E+00
-1.088920E-01,+0.000000E+00,+5.360000E+00
-1.088880E-01,+8.000000E-02,+5.360000E+00
-1.088840E-01,+0.000000E+00,+5.360000E+00
-1.088800E-01,+8.000000E-02,+5.360000E+00
-1.088760E-01,+0.000000E+00,+5.360000E+00
-1.088720E-01,-8.000000E-02,+5.360000E+00
-1.088680E-01,+0.000000E+00,+5.360000E+00
-1.088640E-01,+0.000000E+00,+5.360000E+00
-1.088600E-01,+0.000000E+00,+5.360000E+00
-1.088560E-01,+0.000000E+00,+5.360000E+00
-1.088520E-01,+0.000000E+00,+5.440000E+00
-1.088480E-01,-8.000000E-02,+5.360000E+00
-1.088440E-01,+0.000000E+00,+5.360000E+00
-1.088400E-01,+0.000000E+00,+5.280000E+00
-1.088360E-01,+0.000000E+00,+5.360000E+00
-1.088320E-01,+8.000000E-02,+5.360000E+00
-1.088280E-01,+0.000000E+00,+5.280000E+00
-1.088240E-01,+8.000000E-02,+5.360000E+00
-1.088200E-01,+0.000000E+00,+5.440000E+00
-1.088160E-01,+0.000000E+00,+5.280000E+00
-1.088120E-01,+0.000000E+00,+5.360000E+00
-1.088080E-01,+8.000000E-02,+5.360000E+00
-1.088040E-01,+0.000000E+00,+5.440000E+00
-1.088000E-01,+0.000000E+00,+5.360000E+00
-1.087960E-01,+0.000000E+00,+5.360000E+00
-1.087920E-01,+8.000000E-02,+5.360000E+00
-1.087880E-01,+0.000000E+00,+5.360000E+00
-1.087840E-01,+0.000000E+00,+5.360000E+00
-1.087800E-01,+8.000000E-02,+5.360000E+00
-1.087760E-01,+0.000000E+00,+5.440000E+00
-1.087720E-01,+0.000000E+00,+5.360000E+00
-1.087680E-01,+8.000000E-02,+5.360000E+00
-1.087640E-01,+8.000000E-02,+5.280000E+00
-1.087600E-01,+0.000000E+00,+5.360000E+00
-1.087560E-01,+8.000000E-02,+5.360000E+00
-1.087520E-01,+8.000000E-02,+5.360000E+00
-1.087480E-01,+0.000000E+00,+5.360000E+00
-1.087440E-01,+0.000000E+00,+5.360000E+00
-1.087400E-01,+0.000000E+00,+5.360000E+00
-1.087360E-01,+0.000000E+00,+5.360000E+00
-1.087320E-01,+8.000000E-02,+5.440000E+00
-1.087280E-01,+0.000000E+00,+5.360000E+00
-1.087240E-01,+0.000000E+00,+5.280000E+00
-1.087200E-01,+8.000000E-02,+5.360000E+00
-1.087160E-01,+0.000000E+00,+5.280000E+00
-1.087120E-01,+0.000000E+00,+5.360000E+00
-1.087080E-01,+0.000000E+00,+5.440000E+00
-1.087040E-01,+0.000000E+00,+5.360000E+00
-1.087000E-01,+0.000000E+00,+5.360000E+00
-1.086960E-01,+8.000000E-02,+5.360000E+00
-1.086920E-01,+8.000000E-02,+5.360000E+00
-1.086880E-01,+8.000000E-02,+5.360000E+00
-1.086840E-01,+0.000000E+00,+5.360000E+00
-1.086800E-01,+8.000000E-02,+5.360000E+00
-1.086760E-01,+0.000000E+00,+5.360000E+00
-1.086720E-01,+0.000000E+00,+5.280000E+00
-1.086680E-01,+0.000000E+00,+5.280000E+00
-1.086640E-01,+0.000000E+00,+5.360000E+00
-1.086600E-01,+0.000000E+00,+5.360000E+00
-1.086560E-01,+0.000000E+00,+5.280000E+00
-1.086520E-01,+8.000000E-02,+5.280000E+00
-1.086480E-01,+0.000000E+00,+5.360000E+00
-1.086440E-01,+8.000000E-02,+5.360000E+00
-1.086400E-01,+8.000000E-02,+5.280000E+00
-1.086360E-01,+8.000000E-02,+5.360000E+00
-1.086320E-01,+0.000000E+00,+5.360000E+00
-1.086280E-01,+0.000000E+00,+5.360000E+00
-1.086240E-01,+0.000000E+00,+5.360000E+00
-1.086200E-01,+0.000000E+00,+5.360000E+00
-1.086160E-01,+0.000000E+00,+5.360000E+00
-1.086120E-01,+0.000000E+00,+5.360000E+00
-1.086080E-01,+8.000000E-02,+5.360000E+00
-1.086040E-01,+8.000000E-02,+5.280000E+00
-1.086000E-01,+0.000000E+00,+5.360000E+00
-1.085960E-01,+8.000000E-02,+5.360000E+00
-1.085920E-01,+0.000000E+00,+5.360000E+00
-1.085880E-01,+8.000000E-02,+5.440000E+00
-1.085840E-01,+0.000000E+00,+5.280000E+00
-1.085800E-01,+8.000000E-02,+5.360000E+00
-1.085760E-01,+8.000000E-02,+5.360000E+00
-1.085720E-01,+0.000000E+00,+5.360000E+00
-1.085680E-01,+0.000000E+00,+5.360000E+00
-1.085640E-01,+8.000000E-02,+5.360000E+00
-1.085600E-01,+0.000000E+00,+5.280000E+00
-1.085560E-01,+0.000000E+00,+5.360000E+00
-1.085520E-01,+8.000000E-02,+5.360000E+00
-1.085480E-01,+0.000000E+00,+5.280000E+00
-1.085440E-01,+8.000000E-02,+5.360000E+00
-1.085400E-01,+0.000000E+00,+5.360000E+00
-1.085360E-01,+0.000000E+00,+5.440000E+00
-1.085320E-01,+8.000000E-02,+5.280000E+00
-1.085280E-01,+0.000000E+00,+5.280000E+00
-1.085240E-01,+0.000000E+00,+5.360000E+00
-1.085200E-01,+0.000000E+00,+5.280000E+00
-1.085160E-01,+0.000000E+00,+5.360000E+00
-1.085120E-01,+0.000000E+00,+5.360000E+00
-1.085080E-01,+0.000000E+00,+5.360000E+00
-1.085040E-01,+0.000000E+00,+5.280000E+00
-1.085000E-01,+0.000000E+00,+5.360000E+00
-1.084960E-01,+8.000000E-02,+5.360000E+00
-1.084920E-01,+0.000000E+00,+5.360000E+00
-1.084880E-01,+0.000000E+00,+5.360000E+00
-1.084840E-01,+8.000000E-02,+5.280000E+00
-1.084800E-01,+8.000000E-02,+5.360000E+00
-1.084760E-01,+0.000000E+00,+5.360000E+00
-1.084720E-01,+0.000000E+00,+5.360000E+00
-1.084680E-01,+8.000000E-02,+5.280000E+00
-1.084640E-01,+8.000000E-02,+5.360000E+00
-1.084600E-01,+8.000000E-02,+5.280000E+00
-1.084560E-01,+8.000000E-02,+5.360000E+00
-1.084520E-01,+0.000000E+00,+5.360000E+00
-1.084480E-01,+8.000000E-02,+5.360000E+00
-1.084440E-01,+0.000000E+00,+5.360000E+00
-1.084400E-01,+0.000000E+00,+5.360000E+00
-1.084360E-01,+8.000000E-02,+5.360000E+00
-1.084320E-01,+8.000000E-02,+5.360000E+00
-1.084280E-01,+0.000000E+00,+5.280000E+00
-1.084240E-01,-8.000000E-02,+5.360000E+00
-1.084200E-01,+0.000000E+00,+5.360000E+00
-1.084160E-01,+8.000000E-02,+5.360000E+00
-1.084120E-01,+0.000000E+00,+5.360000E+00
-1.084080E-01,+0.000000E+00,+5.360000E+00
-1.084040E-01,+0.000000E+00,+5.440000E+00
-1.084000E-01,+0.000000E+00,+5.360000E+00
-1.083960E-01,+0.000000E+00,+5.280000E+00
-1.083920E-01,+0.000000E+00,+5.440000E+00
-1.083880E-01,-8.000000E-02,+5.360000E+00
-1.083840E-01,+8.000000E-02,+5.360000E+00
-1.083800E-01,+0.000000E+00,+5.360000E+00
-1.083760E-01,+8.000000E-02,+5.360000E+00
-1.083720E-01,+0.000000E+00,+5.360000E+00
-1.083680E-01,+8.000000E-02,+5.360000E+00
-1.083640E-01,+0.000000E+00,+5.360000E+00
-1.083600E-01,+0.000000E+00,+5.360000E+00
-1.083560E-01,+8.000000E-02,+5.280000E+00
-1.083520E-01,+0.000000E+00,+5.280000E+00
-1.083480E-01,+0.000000E+00,+5.360000E+00
-1.083440E-01,+0.000000E+00,+5.360000E+00
-1.083400E-01,+0.000000E+00,+5.440000E+00
-1.083360E-01,+0.000000E+00,+5.360000E+00
-1.083320E-01,+8.000000E-02,+5.440000E+00
-1.083280E-01,+0.000000E+00,+5.360000E+00
-1.083240E-01,+0.000000E+00,+5.360000E+00
-1.083200E-01,+0.000000E+00,+5.440000E+00
-1.083160E-01,+8.000000E-02,+5.360000E+00
-1.083120E-01,+0.000000E+00,+5.440000E+00
-1.083080E-01,+0.000000E+00,+5.360000E+00
-1.083040E-01,+0.000000E+00,+5.440000E+00
-1.083000E-01,+0.000000E+00,+5.360000E+00
-1.082960E-01,+8.000000E-02,+5.440000E+00
-1.082920E-01,+8.000000E-02,+5.280000E+00
-1.082880E-01,+8.000000E-02,+5.360000E+00
-1.082840E-01,+0.000000E+00,+5.280000E+00
-1.082800E-01,+0.000000E+00,+5.280000E+00
-1.082760E-01,+0.000000E+00,+5.280000E+00
-1.082720E-01,+0.000000E+00,+5.360000E+00
-1.082680E-01,+0.000000E+00,+5.280000E+00
-1.082640E-01,+8.000000E-02,+5.280000E+00
-1.082600E-01,+0.000000E+00,+5.360000E+00
-1.082560E-01,+0.000000E+00,+5.360000E+00
-1.082520E-01,+0.000000E+00,+5.360000E+00
-1.082480E-01,+0.000000E+00,+5.360000E+00
-1.082440E-01,+8.000000E-02,+5.360000E+00
-1.082400E-01,+0.000000E+00,+5.360000E+00
